MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,TRAD_numSyll,Word_TTR,Word_numWords,readinglevel
0.32,1.95,19.38,1.55,0.45,698.0,2
0.3,2.14,14.63,1.51,0.43,483.0,0
0.3,2.07,18.15,1.53,0.44,581.0,1
0.29,1.98,25.94,1.44,0.48,493.0,2
0.27,2.28,22.27,1.36,0.43,490.0,0
0.33,2.03,24.75,1.45,0.47,495.0,1
0.26,2.22,21.47,1.38,0.45,1031.0,2
0.32,2.48,19.61,1.28,0.48,510.0,0
0.24,2.41,21.22,1.36,0.47,764.0,1
0.28,2.16,32.03,1.35,0.49,865.0,2
0.3,2.31,22.78,1.28,0.49,524.0,0
0.31,2.2,28.72,1.3,0.5,632.0,1
0.29,2.3,29.03,1.27,0.41,842.0,2
0.22,2.59,21.52,1.12,0.41,452.0,0
0.29,2.39,30.8,1.25,0.41,647.0,1
0.32,2.06,27.41,1.42,0.45,658.0,2
0.33,2.51,23.72,1.3,0.44,427.0,0
0.27,2.18,24.0,1.33,0.44,552.0,1
0.25,2.12,20.13,1.39,0.44,1067.0,2
0.21,2.17,16.97,1.39,0.4,747.0,0
0.21,2.13,19.38,1.39,0.42,950.0,1
0.31,1.69,27.96,1.55,0.41,895.0,2
0.38,1.87,20.67,1.45,0.39,641.0,0
0.37,1.78,22.6,1.5,0.4,746.0,1
0.3,1.98,32.5,1.44,0.46,715.0,2
0.29,2.21,21.52,1.25,0.44,452.0,0
0.33,2.02,23.0,1.4,0.46,575.0,1
0.3,1.98,25.02,1.52,0.47,976.0,2
0.32,2.24,20.18,1.49,0.45,646.0,0
0.34,2.06,22.02,1.51,0.46,793.0,1
0.38,1.94,31.36,1.51,0.45,784.0,2
0.31,2.2,22.95,1.41,0.4,528.0,0
0.41,1.98,30.0,1.5,0.44,660.0,1
0.37,2.02,29.56,1.46,0.42,739.0,2
0.47,2.3,21.63,1.25,0.44,411.0,0
0.43,2.08,27.64,1.4,0.46,470.0,1
0.44,2.07,28.47,1.44,0.48,655.0,2
0.38,2.27,23.91,1.38,0.47,550.0,0
0.45,2.12,27.86,1.44,0.48,641.0,1
0.3,2.33,26.0,1.34,0.41,1040.0,2
0.26,2.53,19.96,1.36,0.42,639.0,0
0.29,2.38,24.08,1.35,0.4,891.0,1
0.2,2.52,21.96,1.28,0.45,681.0,2
0.24,2.55,18.52,1.22,0.41,630.0,0
0.19,2.49,21.31,1.26,0.43,682.0,1
0.28,2.12,19.76,1.32,0.43,1028.0,2
0.35,2.26,16.71,1.27,0.42,702.0,0
0.31,2.14,19.66,1.29,0.42,1003.0,1
0.23,2.2,22.95,1.41,0.43,987.0,2
0.25,2.22,16.81,1.37,0.39,723.0,0
0.28,2.25,21.56,1.37,0.42,841.0,1
0.19,1.99,23.38,1.49,0.43,795.0,2
0.31,2.15,20.03,1.44,0.45,521.0,0
0.22,2.06,21.66,1.5,0.45,650.0,1
0.21,2.1,24.71,1.5,0.37,1112.0,2
0.21,2.31,18.85,1.27,0.38,641.0,0
0.2,2.18,23.08,1.42,0.39,854.0,1
0.26,2.37,23.28,1.25,0.39,1048.0,2
0.21,2.56,18.44,1.18,0.36,701.0,0
0.24,2.38,21.74,1.25,0.39,848.0,1
0.21,2.44,19.86,1.19,0.46,914.0,2
0.16,2.58,16.42,1.1,0.44,690.0,0
