MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,TRAD_numSyll,Word_numWords,readinglevel
0.32,1.95,19.38,1.55,698.0,2
0.3,2.14,14.63,1.51,483.0,0
0.3,2.07,18.15,1.53,581.0,1
0.29,1.98,25.94,1.44,493.0,2
0.27,2.28,22.27,1.36,490.0,0
0.33,2.03,24.75,1.45,495.0,1
0.26,2.22,21.47,1.38,1031.0,2
0.32,2.48,19.61,1.28,510.0,0
0.24,2.41,21.22,1.36,764.0,1
0.28,2.16,32.03,1.35,865.0,2
0.3,2.31,22.78,1.28,524.0,0
0.31,2.2,28.72,1.3,632.0,1
0.29,2.3,29.03,1.27,842.0,2
0.22,2.59,21.52,1.12,452.0,0
0.29,2.39,30.8,1.25,647.0,1
0.32,2.06,27.41,1.42,658.0,2
0.33,2.51,23.72,1.3,427.0,0
0.27,2.18,24.0,1.33,552.0,1
0.25,2.12,20.13,1.39,1067.0,2
0.21,2.17,16.97,1.39,747.0,0
0.21,2.13,19.38,1.39,950.0,1
0.31,1.69,27.96,1.55,895.0,2
0.38,1.87,20.67,1.45,641.0,0
0.37,1.78,22.6,1.5,746.0,1
0.3,1.98,32.5,1.44,715.0,2
0.29,2.21,21.52,1.25,452.0,0
0.33,2.02,23.0,1.4,575.0,1
0.3,1.98,25.02,1.52,976.0,2
0.32,2.24,20.18,1.49,646.0,0
0.34,2.06,22.02,1.51,793.0,1
0.38,1.94,31.36,1.51,784.0,2
0.31,2.2,22.95,1.41,528.0,0
0.41,1.98,30.0,1.5,660.0,1
0.37,2.02,29.56,1.46,739.0,2
0.47,2.3,21.63,1.25,411.0,0
0.43,2.08,27.64,1.4,470.0,1
0.44,2.07,28.47,1.44,655.0,2
0.38,2.27,23.91,1.38,550.0,0
0.45,2.12,27.86,1.44,641.0,1
0.3,2.33,26.0,1.34,1040.0,2
0.26,2.53,19.96,1.36,639.0,0
0.29,2.38,24.08,1.35,891.0,1
0.2,2.52,21.96,1.28,681.0,2
0.24,2.55,18.52,1.22,630.0,0
0.19,2.49,21.31,1.26,682.0,1
0.28,2.12,19.76,1.32,1028.0,2
0.35,2.26,16.71,1.27,702.0,0
0.31,2.14,19.66,1.29,1003.0,1
0.23,2.2,22.95,1.41,987.0,2
0.25,2.22,16.81,1.37,723.0,0
0.28,2.25,21.56,1.37,841.0,1
0.19,1.99,23.38,1.49,795.0,2
0.31,2.15,20.03,1.44,521.0,0
0.22,2.06,21.66,1.5,650.0,1
0.21,2.1,24.71,1.5,1112.0,2
0.21,2.31,18.85,1.27,641.0,0
0.2,2.18,23.08,1.42,854.0,1
0.26,2.37,23.28,1.25,1048.0,2
0.21,2.56,18.44,1.18,701.0,0
0.24,2.38,21.74,1.25,848.0,1
0.21,2.44,19.86,1.19,914.0,2
0.16,2.58,16.42,1.1,690.0,0
0.18,2.45,18.37,1.18,790.0,1
0.39,2.1,30.76,1.56,769.0,2
0.35,2.41,22.04,1.36,463.0,0
0.42,2.16,24.66,1.47,592.0,1
0.26,2.27,17.14,1.23,1149.0,2
0.3,2.27,14.58,1.19,744.0,0
0.28,2.29,14.79,1.2,917.0,1
0.49,2.19,21.21,1.44,870.0,2
0.65,2.39,17.88,1.34,447.0,0
0.52,2.3,19.91,1.39,677.0,1
0.32,2.06,24.28,1.44,923.0,2
0.29,2.24,17.6,1.34,528.0,0
0.3,2.09,20.28,1.43,791.0,1
0.29,1.88,32.05,1.41,1090.0,2
0.26,2.03,19.05,1.2,724.0,0
0.29,1.95,23.41,1.31,796.0,1
0.21,2.24,24.27,1.42,874.0,2
0.26,2.46,19.85,1.34,675.0,0
0.23,2.27,22.44,1.39,763.0,1
0.25,2.46,16.95,1.36,1102.0,2
0.2,2.59,15.24,1.31,762.0,0
0.25,2.52,15.6,1.35,874.0,1
0.37,1.78,27.74,1.53,860.0,2
0.35,1.97,21.95,1.48,461.0,0
0.36,1.86,26.68,1.52,667.0,1
0.25,2.2,21.39,1.39,1134.0,2
0.29,2.29,15.3,1.39,704.0,0
0.31,2.25,16.96,1.41,916.0,1
0.27,1.91,27.53,1.45,716.0,2
0.35,2.21,20.06,1.3,301.0,0
0.31,1.99,22.83,1.36,411.0,1
0.25,2.02,27.81,1.42,918.0,2
0.28,2.19,19.58,1.3,666.0,0
0.25,2.09,23.4,1.34,749.0,1
0.27,2.36,23.84,1.37,1097.0,2
0.29,2.66,20.79,1.27,707.0,0
0.28,2.5,22.62,1.34,905.0,1
0.29,2.08,25.39,1.48,965.0,2
0.29,2.28,18.5,1.34,481.0,0
0.31,2.24,21.04,1.39,863.0,1
0.27,2.21,25.28,1.37,961.0,2
0.27,2.33,19.37,1.29,717.0,0
0.26,2.25,22.35,1.36,894.0,1
0.35,2.2,25.8,1.3,1058.0,2
0.27,2.26,20.92,1.26,565.0,0
0.34,2.22,24.23,1.3,727.0,1
0.26,1.92,23.4,1.39,702.0,2
0.25,2.02,19.55,1.41,528.0,0
0.26,1.97,22.24,1.39,645.0,1
0.25,2.34,23.21,1.37,882.0,2
0.22,2.55,19.6,1.25,588.0,0
0.25,2.39,22.31,1.34,848.0,1
0.34,2.07,22.21,1.41,844.0,2
0.27,2.42,15.84,1.27,523.0,0
0.29,2.19,19.85,1.38,695.0,1
0.26,2.15,24.22,1.38,751.0,2
0.25,2.33,21.41,1.3,514.0,0
0.28,2.19,22.77,1.35,615.0,1
0.31,2.08,28.0,1.51,700.0,2
0.32,2.26,20.9,1.44,418.0,0
0.33,2.27,22.11,1.49,575.0,1
0.52,1.82,27.13,1.6,1004.0,2
0.57,2.13,18.44,1.39,535.0,0
0.52,1.9,23.58,1.53,731.0,1
0.41,1.77,26.2,1.56,1048.0,2
0.35,2.01,25.28,1.42,632.0,0
0.4,1.91,25.38,1.51,863.0,1
0.33,2.44,21.73,1.38,1065.0,2
0.29,2.55,20.0,1.32,540.0,0
0.34,2.57,19.35,1.34,813.0,1
0.22,1.91,22.75,1.46,637.0,2
0.22,2.12,19.33,1.41,580.0,0
0.23,2.02,21.27,1.42,617.0,1
0.28,2.43,18.87,1.26,1057.0,2
0.32,2.58,17.31,1.17,814.0,0
0.3,2.51,17.35,1.21,937.0,1
0.27,2.16,25.48,1.44,1096.0,2
0.24,2.3,21.12,1.28,528.0,0
0.28,2.26,23.44,1.42,797.0,1
0.3,2.08,27.6,1.62,911.0,2
0.29,2.42,23.45,1.53,563.0,0
0.33,2.15,26.58,1.62,771.0,1
0.42,2.15,23.58,1.32,849.0,2
0.36,2.37,22.39,1.26,515.0,0
0.42,2.15,23.86,1.31,692.0,1
0.23,2.37,25.19,1.21,1033.0,2
0.27,2.39,18.6,1.14,707.0,0
0.22,2.37,21.16,1.19,783.0,1
