MRCAoA,MRCColMeaningfulness,SYN_avgSentenceLength,Word_numWords,readinglevel
0.32,1.95,19.38,698.0,2
0.3,2.14,14.63,483.0,0
0.3,2.07,18.15,581.0,1
0.29,1.98,25.94,493.0,2
0.27,2.28,22.27,490.0,0
0.33,2.03,24.75,495.0,1
0.26,2.22,21.47,1031.0,2
0.32,2.48,19.61,510.0,0
0.24,2.41,21.22,764.0,1
0.28,2.16,32.03,865.0,2
0.3,2.31,22.78,524.0,0
0.31,2.2,28.72,632.0,1
0.29,2.3,29.03,842.0,2
0.22,2.59,21.52,452.0,0
0.29,2.39,30.8,647.0,1
0.32,2.06,27.41,658.0,2
0.33,2.51,23.72,427.0,0
0.27,2.18,24.0,552.0,1
0.25,2.12,20.13,1067.0,2
0.21,2.17,16.97,747.0,0
0.21,2.13,19.38,950.0,1
0.31,1.69,27.96,895.0,2
0.38,1.87,20.67,641.0,0
0.37,1.78,22.6,746.0,1
0.3,1.98,32.5,715.0,2
0.29,2.21,21.52,452.0,0
0.33,2.02,23.0,575.0,1
0.3,1.98,25.02,976.0,2
0.32,2.24,20.18,646.0,0
0.34,2.06,22.02,793.0,1
0.38,1.94,31.36,784.0,2
0.31,2.2,22.95,528.0,0
0.41,1.98,30.0,660.0,1
0.37,2.02,29.56,739.0,2
0.47,2.3,21.63,411.0,0
0.43,2.08,27.64,470.0,1
0.44,2.07,28.47,655.0,2
0.38,2.27,23.91,550.0,0
0.45,2.12,27.86,641.0,1
0.3,2.33,26.0,1040.0,2
0.26,2.53,19.96,639.0,0
0.29,2.38,24.08,891.0,1
0.2,2.52,21.96,681.0,2
0.24,2.55,18.52,630.0,0
0.19,2.49,21.31,682.0,1
0.28,2.12,19.76,1028.0,2
0.35,2.26,16.71,702.0,0
0.31,2.14,19.66,1003.0,1
0.23,2.2,22.95,987.0,2
0.25,2.22,16.81,723.0,0
0.28,2.25,21.56,841.0,1
0.19,1.99,23.38,795.0,2
0.31,2.15,20.03,521.0,0
0.22,2.06,21.66,650.0,1
0.21,2.1,24.71,1112.0,2
0.21,2.31,18.85,641.0,0
0.2,2.18,23.08,854.0,1
0.26,2.37,23.28,1048.0,2
0.21,2.56,18.44,701.0,0
0.24,2.38,21.74,848.0,1
0.21,2.44,19.86,914.0,2
0.16,2.58,16.42,690.0,0
0.18,2.45,18.37,790.0,1
0.39,2.1,30.76,769.0,2
0.35,2.41,22.04,463.0,0
0.42,2.16,24.66,592.0,1
0.26,2.27,17.14,1149.0,2
0.3,2.27,14.58,744.0,0
0.28,2.29,14.79,917.0,1
0.49,2.19,21.21,870.0,2
0.65,2.39,17.88,447.0,0
0.52,2.3,19.91,677.0,1
0.32,2.06,24.28,923.0,2
0.29,2.24,17.6,528.0,0
0.3,2.09,20.28,791.0,1
0.29,1.88,32.05,1090.0,2
0.26,2.03,19.05,724.0,0
0.29,1.95,23.41,796.0,1
0.21,2.24,24.27,874.0,2
0.26,2.46,19.85,675.0,0
0.23,2.27,22.44,763.0,1
0.25,2.46,16.95,1102.0,2
0.2,2.59,15.24,762.0,0
0.25,2.52,15.6,874.0,1
0.37,1.78,27.74,860.0,2
0.35,1.97,21.95,461.0,0
0.36,1.86,26.68,667.0,1
0.25,2.2,21.39,1134.0,2
0.29,2.29,15.3,704.0,0
0.31,2.25,16.96,916.0,1
0.27,1.91,27.53,716.0,2
0.35,2.21,20.06,301.0,0
0.31,1.99,22.83,411.0,1
0.25,2.02,27.81,918.0,2
0.28,2.19,19.58,666.0,0
0.25,2.09,23.4,749.0,1
0.27,2.36,23.84,1097.0,2
0.29,2.66,20.79,707.0,0
0.28,2.5,22.62,905.0,1
0.29,2.08,25.39,965.0,2
0.29,2.28,18.5,481.0,0
0.31,2.24,21.04,863.0,1
0.27,2.21,25.28,961.0,2
0.27,2.33,19.37,717.0,0
0.26,2.25,22.35,894.0,1
0.35,2.2,25.8,1058.0,2
0.27,2.26,20.92,565.0,0
0.34,2.22,24.23,727.0,1
