fileName,MRCAoA,MRCColMeaningfulness,MRCConcreteness,MRCFamiliarity,MRCPavioMeaningfulness,POS_numAdjectives,POS_numAdverbs,POS_numNouns,POS_numVerbs,SYN_avgSentenceLength,SYN_numSentences,TRAD_Flesch,TRAD_Kincaid,TRAD_numChars,TRAD_numSyll,Word_TTR,Word_numWords,readinglevel
Amazon-adv.txt,0.32,1.95,1.89,4.13,0.22,0.11,0.03,0.34,0.16,19.38,36.0,48.68,13.04,5.09,1.55,0.45,698.0,2
Amazon-ele.txt,0.3,2.14,1.95,4.27,0.19,0.11,0.04,0.35,0.15,14.63,33.0,58.37,9.99,4.88,1.51,0.43,483.0,0
Amazon-int.txt,0.3,2.07,1.92,4.26,0.16,0.12,0.03,0.33,0.16,18.15,32.0,52.55,11.93,4.99,1.53,0.44,581.0,1
Amsterdam-adv.txt,0.29,1.98,1.78,3.97,0.17,0.09,0.04,0.29,0.22,25.94,19.0,60.34,10.69,4.91,1.44,0.48,493.0,2
Amsterdam-ele.txt,0.27,2.28,2.01,4.34,0.19,0.1,0.05,0.29,0.22,22.27,22.0,71.02,8.34,4.6,1.36,0.43,490.0,0
Amsterdam-int.txt,0.33,2.03,1.85,4.09,0.17,0.1,0.04,0.3,0.21,24.75,20.0,61.16,10.29,4.84,1.45,0.47,495.0,1
Anita-adv.txt,0.26,2.22,2.02,4.31,0.17,0.12,0.03,0.28,0.17,21.47,48.0,70.22,8.22,4.77,1.38,0.45,1031.0,2
Anita-ele.txt,0.32,2.48,2.28,4.64,0.17,0.11,0.04,0.28,0.16,19.61,26.0,80.61,6.32,4.42,1.28,0.48,510.0,0
Anita-int.txt,0.24,2.41,2.16,4.49,0.18,0.12,0.03,0.28,0.17,21.22,36.0,72.03,8.03,4.68,1.36,0.47,764.0,1
Arctic-mapping-adv.txt,0.28,2.16,2.09,4.28,0.16,0.08,0.04,0.33,0.18,32.03,27.0,63.19,11.62,4.74,1.35,0.49,865.0,2
Arctic-mapping-ele.txt,0.3,2.31,2.19,4.4,0.17,0.07,0.04,0.34,0.18,22.78,23.0,77.24,7.64,4.51,1.28,0.49,524.0,0
Arctic-mapping-int.txt,0.31,2.2,2.15,4.33,0.16,0.07,0.03,0.34,0.18,28.72,22.0,70.11,9.93,4.68,1.3,0.5,632.0,1
Banksy-adv.txt,0.29,2.3,2.14,4.49,0.34,0.06,0.03,0.3,0.18,29.03,29.0,72.36,9.68,4.57,1.27,0.41,842.0,2
Banksy-ele.txt,0.22,2.59,2.33,4.79,0.35,0.05,0.02,0.3,0.22,21.52,21.0,90.67,5.71,4.27,1.12,0.41,452.0,0
Banksy-int.txt,0.29,2.39,2.19,4.53,0.35,0.05,0.03,0.31,0.2,30.8,21.0,72.42,10.06,4.48,1.25,0.41,647.0,1
Billionaires-adv.txt,0.32,2.06,1.97,4.25,0.24,0.1,0.06,0.32,0.17,27.41,24.0,62.33,10.45,4.88,1.42,0.45,658.0,2
Billionaires-ele.txt,0.33,2.51,2.28,4.72,0.35,0.1,0.05,0.31,0.19,23.72,18.0,76.08,7.61,4.6,1.3,0.44,427.0,0
Billionaires-int.txt,0.27,2.18,2.02,4.39,0.24,0.1,0.05,0.31,0.19,24.0,23.0,72.9,8.18,4.66,1.33,0.44,552.0,1
Blackberry-adv.txt,0.25,2.12,1.94,4.23,0.16,0.07,0.05,0.36,0.16,20.13,53.0,70.99,7.65,4.85,1.39,0.44,1067.0,2
Blackberry-ele.txt,0.21,2.17,1.94,4.22,0.11,0.08,0.06,0.36,0.17,16.97,44.0,74.53,6.42,4.77,1.39,0.4,747.0,0
Blackberry-int.txt,0.21,2.13,1.93,4.26,0.18,0.07,0.06,0.36,0.16,19.38,49.0,71.47,7.48,4.78,1.39,0.42,950.0,1
Bolivia-adv.txt,0.31,1.69,1.73,3.94,0.17,0.09,0.03,0.33,0.18,27.96,32.0,50.22,12.46,5.13,1.55,0.41,895.0,2
