MRCAoA,MRCColMeaningfulness,MRCConcreteness,MRCFamiliarity,MRCPavioMeaningfulness,readinglevel
0.32,1.95,1.89,4.13,0.22,2
0.3,2.14,1.95,4.27,0.19,0
0.3,2.07,1.92,4.26,0.16,1
0.29,1.98,1.78,3.97,0.17,2
0.27,2.28,2.01,4.34,0.19,0
0.33,2.03,1.85,4.09,0.17,1
0.26,2.22,2.02,4.31,0.17,2
0.32,2.48,2.28,4.64,0.17,0
0.24,2.41,2.16,4.49,0.18,1
0.28,2.16,2.09,4.28,0.16,2
0.3,2.31,2.19,4.4,0.17,0
0.31,2.2,2.15,4.33,0.16,1
0.29,2.3,2.14,4.49,0.34,2
0.22,2.59,2.33,4.79,0.35,0
0.29,2.39,2.19,4.53,0.35,1
0.32,2.06,1.97,4.25,0.24,2
0.33,2.51,2.28,4.72,0.35,0
0.27,2.18,2.02,4.39,0.24,1
0.25,2.12,1.94,4.23,0.16,2
0.21,2.17,1.94,4.22,0.11,0
0.21,2.13,1.93,4.26,0.18,1
0.31,1.69,1.73,3.94,0.17,2
0.38,1.87,1.88,4.14,0.13,0
0.37,1.78,1.83,4.05,0.12,1
0.3,1.98,1.81,3.99,0.19,2
0.29,2.21,1.94,4.28,0.11,0
0.33,2.02,1.84,4.02,0.16,1
0.3,1.98,1.88,4.0,0.16,2
0.32,2.24,2.06,4.3,0.16,0
0.34,2.06,1.97,4.13,0.18,1
0.38,1.94,1.83,4.08,0.34,2
0.31,2.2,1.89,4.3,0.19,0
0.41,1.98,1.85,4.2,0.34,1
0.37,2.02,2.04,3.95,0.16,2
0.47,2.3,2.34,4.32,0.26,0
0.43,2.08,2.16,4.04,0.21,1
0.44,2.07,1.97,4.17,0.23,2
0.38,2.27,2.08,4.26,0.24,0
0.45,2.12,2.01,4.2,0.24,1
0.3,2.33,2.16,4.6,0.28,2
0.26,2.53,2.28,4.79,0.44,0
0.29,2.38,2.19,4.65,0.38,1
0.2,2.52,2.24,4.75,0.26,2
0.24,2.55,2.26,4.78,0.25,0
0.19,2.49,2.21,4.74,0.25,1
0.28,2.12,1.98,4.19,0.25,2
0.35,2.26,2.12,4.45,0.3,0
0.31,2.14,2.02,4.25,0.25,1
0.23,2.2,2.0,4.3,0.26,2
0.25,2.22,2.05,4.35,0.19,0
0.28,2.25,2.07,4.43,0.21,1
0.19,1.99,1.76,4.01,0.13,2
0.31,2.15,1.96,4.27,0.13,0
0.22,2.06,1.82,4.08,0.14,1
0.21,2.1,1.83,4.21,0.32,2
